uid,ST1_GAP(eV)
test_0,0.69861555
test_1,1.2367527
test_2,0.8728918
test_3,0.7543844
test_4,1.0909135
test_5,0.78217036
test_6,0.99510145
test_7,0.86446106
test_8,1.1326944
test_9,0.55731726
test_10,0.54514503
test_11,0.8826295
test_12,0.6004611
test_13,0.14923716
test_14,0.9689157
test_15,1.0865189
test_16,1.1241051
test_17,0.7228043
test_18,1.1675866
test_19,1.0240574
test_20,1.1168274
test_21,1.1319876
test_22,0.46753788
test_23,0.7653657
test_24,1.0873
test_25,0.88735986
test_26,1.2751132
test_27,0.4851054
test_28,0.94789183
test_29,0.9686525
test_30,0.46574634
test_31,0.74529755
test_32,1.1642433
test_33,0.9174503
test_34,0.58501136
test_35,1.1798913
test_36,0.9982631
test_37,0.50463945
test_38,0.24422374
test_39,2.0810692
test_40,1.543009
test_41,0.8843912
test_42,1.1532223
test_43,0.52090967
test_44,1.1070974
test_45,1.0306435
test_46,0.4457736
test_47,0.7613534
test_48,1.1545179
test_49,1.030515
test_50,1.0055591
test_51,1.0008938
test_52,1.470682
test_53,0.91809416
test_54,1.0639216
test_55,1.4952116
test_56,0.66372955
test_57,1.0371728
test_58,1.1681321
test_59,0.85861087
test_60,0.41818315
test_61,0.82111555
test_62,0.5232285
test_63,0.4997837
test_64,0.7166729
test_65,0.21130913
test_66,1.0246173
test_67,1.0471865
test_68,0.6342238
test_69,0.870373
test_70,1.5206677
test_71,0.91640294
test_72,0.7184335
test_73,1.1925534
test_74,0.988243
test_75,1.0559269
test_76,0.8580171
test_77,0.88340676
test_78,1.1280665
test_79,0.991451
test_80,0.64188325
test_81,0.72773886
test_82,1.0647194
test_83,0.4060492
test_84,0.813
test_85,1.275129
test_86,0.41000676
test_87,0.6559757
test_88,0.99819493
test_89,0.9463624
test_90,1.0293756
test_91,0.45502472
test_92,0.6836004
test_93,0.9436898
test_94,0.61973906
test_95,0.50877255
test_96,0.50266093
test_97,1.0191284
test_98,0.5085366
test_99,0.6724121
test_100,0.9313617
test_101,0.7532581
test_102,1.2486583
test_103,0.9517176
test_104,0.9470712
test_105,1.1083767
test_106,0.33227393
test_107,0.68695676
test_108,1.1349006
test_109,0.42399478
test_110,0.50142586
test_111,0.8691776
test_112,0.95506656
test_113,0.47913995
test_114,0.7637085
test_115,0.87739336
test_116,0.5861107
test_117,1.3593906
test_118,0.8840964
test_119,0.7911117
test_120,0.824527
test_121,0.7563131
test_122,0.6774547
test_123,0.93114007
test_124,0.64403915
test_125,0.7819855
test_126,0.9936147
test_127,0.7047185
test_128,1.0594314
test_129,0.94572663
test_130,0.67793727
test_131,0.46954548
test_132,0.5494846
test_133,0.17123993
test_134,0.9004991
test_135,1.0798346
test_136,1.0566086
test_137,0.96913445
test_138,0.4570217
test_139,1.1997391
test_140,1.0361345
test_141,0.74529266
test_142,0.8969275
test_143,1.1482788
test_144,1.027934
test_145,1.1586931
test_146,0.56655467
test_147,1.213578
test_148,0.99392486
test_149,1.115633
test_150,0.8472626
test_151,1.1622583
test_152,0.5750978
test_153,0.7919655
test_154,1.1963423
test_155,0.38067958
test_156,0.94235814
test_157,1.0148915
test_158,0.7640643
test_159,0.3957426
test_160,1.0070074
test_161,0.572922
test_162,0.71981263
test_163,1.0642787
test_164,0.9947578
test_165,0.58239007
test_166,1.0207056
test_167,0.937793
test_168,0.65166247
test_169,1.1356853
test_170,1.1314806
test_171,1.0536318
test_172,0.5796673
test_173,1.0679246
test_174,0.99148905
test_175,1.2308443
test_176,0.13326259
test_177,1.5323185
test_178,0.80329275
test_179,0.61050546
test_180,0.45223764
test_181,0.9105021
test_182,0.97911155
test_183,0.7659299
test_184,1.2216514
test_185,0.56456316
test_186,0.9296324
test_187,0.066112936
test_188,1.0907788
test_189,0.8439832
test_190,0.6643957
test_191,0.8853034
test_192,0.92913127
test_193,1.2738711
test_194,1.1953974
test_195,1.0058031
test_196,0.45388976
test_197,0.32974952
test_198,0.831771
test_199,1.2061414
test_200,1.4469737
test_201,0.91941
test_202,0.7534133
test_203,0.9737512
test_204,0.82950675
test_205,1.1019562
test_206,0.46552175
test_207,1.3914547
test_208,1.2950574
test_209,0.984208
test_210,1.1621243
test_211,0.53530926
test_212,0.9993298
test_213,0.98080623
test_214,0.7730006
test_215,1.0857908
test_216,1.0302395
test_217,0.554793
test_218,0.7944377
test_219,0.782089
test_220,0.5492625
test_221,0.9711064
test_222,0.7099534
test_223,1.2387123
test_224,1.0487944
test_225,0.43077108
test_226,0.1925197
test_227,0.9057212
test_228,1.1063162
test_229,0.6173826
test_230,0.98631537
test_231,0.62212396
test_232,1.19181
test_233,0.6784203
test_234,1.0333161
test_235,0.43354273
test_236,0.7213152
test_237,0.49753213
test_238,0.4652099
test_239,1.5938098
test_240,0.9149641
test_241,1.4395822
test_242,0.49214882
test_243,1.4341235
test_244,1.1272428
test_245,0.5008871
test_246,0.12584996
test_247,0.86992335
test_248,0.77416587
test_249,0.82154524
test_250,1.1064955
test_251,2.1805732
test_252,1.258963
test_253,0.5556481
test_254,0.9055295
test_255,1.0909253
test_256,1.2476287
test_257,1.0753417
test_258,0.59534466
test_259,0.74205065
test_260,0.84445643
test_261,0.8169179
test_262,1.4297073
test_263,0.17928411
test_264,0.47166622
test_265,0.867859
test_266,0.9282633
test_267,1.237239
test_268,1.191995
test_269,1.027442
test_270,1.0945016
test_271,0.38945815
test_272,1.1633991
test_273,0.8151245
test_274,0.66482663
test_275,0.7459918
test_276,0.94951487
test_277,0.72733676
test_278,0.52305835
test_279,0.70238197
test_280,1.1559607
test_281,0.5507071
test_282,1.1373857
test_283,0.9457867
test_284,1.0562308
test_285,1.1036044
test_286,0.4586602
test_287,0.7634741
test_288,1.2483802
test_289,0.9346608
test_290,0.8409442
test_291,0.40616527
test_292,1.300422
test_293,1.1624451
test_294,0.12064038
test_295,1.0342519
test_296,1.0874083
test_297,0.828416
test_298,1.2913073
test_299,0.5731976
test_300,0.9238981
test_301,0.97958016
test_302,1.2612417
test_303,0.5255319
test_304,0.5341486
test_305,1.1665357
test_306,0.81670713
test_307,0.6067686
test_308,1.5187695
test_309,0.7371961
test_310,0.35032928
test_311,0.909503
test_312,0.6130717
test_313,0.6979418
test_314,0.9628204
test_315,0.78661716
test_316,0.8139136
test_317,0.98518705
test_318,0.48760027
test_319,0.751286
test_320,0.51304024
test_321,0.8096855
test_322,0.5238899
test_323,1.0076166
test_324,0.9848517
test_325,1.4557827
test_326,0.9063053
test_327,0.7052771
test_328,0.938419
test_329,0.8960818
test_330,0.85444033
test_331,0.79517376
test_332,1.0865623
test_333,1.0979395
test_334,0.5935738
test_335,0.75636613
test_336,1.2323077
test_337,1.0058345
test_338,1.002165
test_339,1.0355606
test_340,1.1220428
test_341,1.4586836
test_342,0.6336899
test_343,1.0974591
test_344,0.44978523
test_345,0.52585596
test_346,0.9021994
test_347,0.484079
test_348,1.0580127
test_349,0.7972789
test_350,1.0271374
test_351,0.31169987
test_352,0.4500944
test_353,1.1092716
test_354,1.1725323
test_355,0.83182347
test_356,1.1096565
test_357,1.2592251
test_358,0.7280723
test_359,0.43145254
test_360,0.17093508
test_361,0.49672884
test_362,0.9252411
test_363,1.1127434
test_364,1.0418959
test_365,1.0703467
test_366,0.77153105
test_367,0.42676672
test_368,0.35985857
test_369,0.5508167
test_370,1.0095141
test_371,0.3614769
test_372,1.1021885
test_373,0.5952196
test_374,1.0753477
test_375,1.1774648
test_376,1.0142747
test_377,1.2072088
test_378,0.98212194
test_379,1.4690452
test_380,1.0618436
test_381,1.3453077
test_382,1.0295713
test_383,1.0968528
test_384,0.24131636
test_385,0.65293276
test_386,1.075364
test_387,0.22608675
test_388,1.0301719
test_389,0.6475301
test_390,1.1428527
test_391,1.2567753
test_392,0.9565886
test_393,1.0033919
test_394,1.1544251
test_395,1.3689902
test_396,0.7595148
test_397,0.7197019
test_398,1.2012899
test_399,0.6917652
test_400,0.5130573
test_401,1.0194982
test_402,0.3402534
test_403,1.0475726
test_404,1.0656039
test_405,1.0501531
test_406,0.9289745
test_407,0.37832403
test_408,0.7054789
test_409,0.9380282
test_410,0.9578415
test_411,1.177179
test_412,0.8604814
test_413,0.85164094
test_414,1.0744802
test_415,0.40785435
test_416,0.71898323
test_417,1.0801381
test_418,0.9775696
test_419,1.0920821
test_420,0.49753213
test_421,1.0407228
test_422,0.9774846
test_423,0.9506004
test_424,0.8767834
test_425,1.2354606
test_426,0.24398378
test_427,0.8000748
test_428,1.1111981
test_429,1.1342573
test_430,0.4603502
test_431,0.4953705
test_432,0.65260077
test_433,1.230842
test_434,0.7925322
test_435,1.1902144
test_436,1.140309
test_437,1.2856644
test_438,0.6157924
test_439,0.9799435
test_440,0.6334779
test_441,1.0458722
test_442,0.90447545
test_443,1.0334277
test_444,1.4128295
test_445,0.8536743
test_446,0.5139349
test_447,1.2224422
test_448,0.93035257
test_449,0.7407837
test_450,0.8736042
test_451,0.9849318
test_452,1.0204549
test_453,0.35647938
test_454,0.916077
test_455,0.44836363
test_456,0.9065089
test_457,1.0393106
test_458,1.1847845
test_459,1.5970969
test_460,0.9405743
test_461,0.9471942
test_462,1.0409136
test_463,0.23454463
test_464,0.72839606
test_465,0.6623708
test_466,1.4373751
test_467,0.010773331
test_468,1.1797234
test_469,0.87719345
test_470,0.93085074
test_471,0.9647907
test_472,0.5527437
test_473,0.76447403
test_474,0.9536674
test_475,1.0318639
test_476,1.0698154
test_477,0.6780148
test_478,1.0859207
test_479,0.9363624
test_480,0.78319097
test_481,0.85662055
test_482,1.1162393
test_483,0.4987418
test_484,0.88443816
test_485,0.75822663
test_486,0.549507
test_487,0.23773608
test_488,0.7915929
test_489,1.096912
test_490,1.0492433
test_491,0.8364121
test_492,0.7864516
test_493,0.525306
test_494,1.1053407
test_495,1.1843077
test_496,0.9609724
test_497,1.1546489
test_498,0.786376
test_499,0.49261546
test_500,0.9645041
test_501,0.9538592
test_502,0.07787798
test_503,0.1857261
test_504,0.22411725
test_505,0.16875045
test_506,0.056402713
test_507,0.08948819
test_508,0.19060223
test_509,0.20679544
test_510,0.12730308
test_511,0.11305486
test_512,0.1731195
test_513,0.05581829
test_514,0.04565826
test_515,0.094696075
test_516,0.06579217
test_517,0.074552715
test_518,0.08870377
test_519,0.09300046
test_520,0.23010394
test_521,0.011956364
test_522,0.20432237
test_523,0.096665815
test_524,0.08889307
test_525,0.34267095
test_526,0.43861824
test_527,0.41038644
test_528,0.061549693
test_529,0.02994436
test_530,0.10262415
test_531,-0.0065517426
test_532,0.5950649
test_533,0.49284253
test_534,0.61054224
test_535,0.5730987
test_536,0.12881169
test_537,0.48902053
test_538,0.5196371
test_539,0.52878606
test_540,0.70432806
test_541,0.6284157
test_542,0.41916722
test_543,0.4287711
test_544,0.39598256
test_545,0.40269983
test_546,0.6077862
test_547,0.7498522
test_548,0.52662003
